a art.一(个)；每一(个)
abandon vt.丢弃；放弃，抛弃
ability n.能力；能耐，本领
able a.有能力的；出色的
abnormal a.不正常的；变态的
aboard ad.在船(车)上；上船
about prep.关于；在…周围
above prep.在…上面；高于
abroad ad.(在)国外；到处
absence n.缺席，不在场；缺乏
absent a.不在场的；缺乏的
absolute a.绝对的；纯粹的
absolutely ad.完全地；绝对地
absorb vt.吸收；使专心
abstract a.抽象的n.摘要
abundant a.丰富的；大量的
abuse vt.滥用；虐待n.滥用
academic a.学院的；学术的
academy n.私立中学；专科院校
accelerate vt.(使)加快；促进
acceleration n.加速；加速度
accent n.口音，腔调；重音
accept vt.vi.接受；同意
acceptable a.可接受的，合意的
acceptance n.接受，验收；承认
access n.接近；通道，入口
accessory n.同谋，从犯；附件
accident n.意外的；事故
accidental a.偶然的；非本质的
accommodate vt.容纳；供应，供给
accommodation n.招待设备；预定铺位
accompany vt.陪伴，陪同；伴随
accomplish vt.达到(目的)；完成
accord vt.使一致；给予
accordance n.一致；和谐；授予
accordingly ad.因此，所以；照着
account n.记述；解释；帐目
accumulate vt.积累vi.堆积
accuracy n.准确(性)；准确度
accurate a.准确的，正确无误的
accuse vt.指责；归咎于
affection n.慈爱，爱；爱慕
afford vt.担负得起…；提供
afraid a.害怕的；担心的
Africa n.非洲
African a.非洲的n.非洲人
after prep.在…以后；次于
afternoon n.下午，午后
afterward ad.后来，以后
again ad.又一次；而且
against prep.倚在；逆，对着
age n.年龄；时代vt.变老
agency n.经办；代理；代理处
agent n.代理人，代理商
aggressive a.侵略的；好斗的
ago ad.以前
agony n.极度痛苦
agree vi.同意；持相同意见
agreement n.协定，协议；同意
agriculture n.农业，农艺；农学
ahead ad.在前；向前；提前
aid n.帮助，救护；助手
aim vi.瞄准，针对；致力
air n.空气；空中；外观
aircraft n.飞机，飞行器
airline n.航空公司；航线
airplane n.飞机
airport n.机场，航空站
alarm n.惊恐，忧虑；警报
alcohol n.酒精，乙醇
alike a.同样的，相同的
alive a.活着的；活跃的
all a.全部的prep.全部
allow vt.允许，准许；任
alloy n.合金；(金属的)成色
almost ad.几乎，差不多
alone a.单独的ad.单独地
along prep.沿着ad.向前
aloud ad.出声地，大声地
alphabet n.字母表，字母系统
already ad.早已，已经
also ad.亦，也；而且，还
alter vt.改变，变更；改做
alternative n.替换物；取舍，抉择
although conj.尽管，虽然
altitude n.高，高度；高处
altogether ad.完全；总而言之
apology n.道歉，认错，谢罪
apparatus n.器械，仪器；器官
